1 W 3rd St,40.7279203087,-73.99487257,3.5,42428458,42430217
385 6th Ave,40.733152,-74.000269,3.5,42430237,42421889
62 Spring St,40.722293287,-73.9973933067,4.0,42442247,1773076509
212 Lafayette St,40.721816,-73.997927,3.5,42430044,42440815
343 Broome St,40.719598,-73.9948569,3.5,42432184,42427327
128 7th Ave,40.74102,-73.99829,4.0,42439830,42439823
226 Front St,40.70769,-74.00221,4.0,42433205,42433218
168 W 4th St,40.732006073,-74.0016479492,3.5,42430231,1692433941
252 W 47th St,40.759833,-73.986698,3.5,42428303,593921860
30-13 Broadway,40.7623,-73.92555,4.0,3570249922,42849730
2272 Frederick Douglass Blvd,40.807978,-73.952365,3.5,42435794,42435805
19 Division St,40.713928,-73.99652,3.5,1773067304,1773066054
151 2nd Ave,40.72957,-73.98719,4.0,42442870,42442843
33-09 36th Ave,40.7557171543,-73.9278112924,4.5,42905205,42938567
1187 Amsterdam Ave,40.80829,-73.95977,3.5,3347295528,1504153626
1079 1st Ave,40.7596400253,-73.962309882,4.0,42448326,6177439749
375 3rd Ave,40.74138,-73.98107,4.0,4138911201,42449928
78 W 11th St,40.7352,-73.99808,4.0,42449067,42430247
489 3rd Ave,40.74513,-73.97835,4.0,42449928,42445378
70 W 40th St,40.7531506088,-73.9845742285,3.0,42430324,42446488
41 W 14th St,40.73697,-73.99551,4.0,42440710,42430253
973 Columbus Ave,40.80031,-73.96186,4.5,42443413,42432744
54 Thompson St,40.723825131,-74.0032896944,3.5,42436763,42436761
347 Lexington Ave,40.7498292289,-73.9770328824,3.5,42446949,42446942
2532 Broadway,40.79365,-73.9722,3.5,1061531593,4205805395
768 5th Ave,40.7642275767,-73.9742152251,3.5,6188803960,42432818
381 Park Ave S,40.7425212,-73.9845319,3.0,42429888,42436748
10 Downing St,40.7295313881,-74.0027698392,3.5,42430187,42436968
52 W 13th St,40.73624,-73.99658,4.0,42429373,42429378
22 W 25th St,40.74325,-73.99023,4.0,42428212,42430594
352 Bedford Ave,40.71229328,-73.9628687873,4.0,42468744,42484171
40-01 Queens Blvd,40.7439934462,-73.9240421355,4.5,2844853155,2844853154
1375 Broadway,40.75257,-73.98789,4.5,42428258,42428253
1674 Park Ave,40.800667,-73.942729,4.5,596776594,596776166
635 9th Ave,40.7602649,-73.991703,3.5,42445018,42445011
33-01 31st Ave,40.76372,-73.92158,4.0,42856527,42856556
30 Carmine St,40.73,-74.00283,4.0,42431773,6213204047
1453 3rd Ave,40.7763,-73.95548,4.0,42436486,6181480009
34 Ludlow St,40.7159893975,-73.9903887679,4.5,42440679,42440677
115 E18th St,40.7368323319,-73.9877132715,4.0,42434357,42437289
51 Spring St,40.7220937,-73.9963857,3.5,42442247,1773076509
206 3rd Ave,40.73596,-73.98546,3.5,42440729,42448701
1414 6th Ave,40.764741,-73.9765169804,3.5,42430384,42430394
577 Union Ave,40.7177,-73.952445,4.0,42520612,42514559
132 W 27th St,40.74587,-73.99265,4.5,42434800,42434807
557 Lexington Ave,40.75664,-73.97209,3.0,42446991,42438889
126 Nassau Ave,40.7243431,-73.9484718,4.5,2987758886,5051959089
2340 Broadway,40.7877322,-73.9767123,3.0,1061531603,1061531637
140 W 30th St,40.747875406,-73.9916682629,4.0,42435420,42430288
1634 York Ave,40.77601,-73.94685,3.5,42428049,42428037
857 Broadway,40.73734,-73.99056,3.5,42428174,42428170
176 Ludlow St,40.721668,-73.987274,4.0,4478001045,42429769
110 Wall St,40.70478,-74.00652,4.0,42444230,42440356
196 Elizabeth St,40.721774,-73.994275,3.5,42438034,42431822
1316 1st Ave,40.7668045,-73.95653,4.0,4215940675,42445247
727 5th Ave,40.76267,-73.97396,3.5,42432818,42450426
163 W 23rd St,40.7441,-73.99488,3.5,42437890,42430271
551 Hudson St,40.735256,-74.006309,4.0,4207862998,6210448863
